machine,train_normal_files,test_normal_files,test_anomaly_files,roc_auc,accuracy,normal_precision,normal_recall,anomaly_precision,anomaly_recall,anomaly_f1,tn,fp,fn,tp,threshold
fan,3675,400,1475,0.4925457627118644,0.248,0.213718820861678,0.9425,0.7927927927927928,0.059661016949152545,0.11097099621689786,377,23,1387,88,0.0030136895
pump,3349,400,456,0.5297258771929825,0.48014018691588783,0.47162673392181587,0.935,0.5873015873015873,0.08114035087719298,0.14258188824662812,374,26,419,37,0.0035168575
valve,3291,400,479,0.49349686847599167,0.45733788395904434,0.4536702767749699,0.9425,0.5208333333333334,0.05219206680584551,0.09487666034155598,377,23,454,25,0.003471592
