machine,train_normal_files,test_normal_files,test_anomaly_files,roc_auc,accuracy,normal_precision,normal_recall,anomaly_precision,anomaly_recall,anomaly_f1,tn,fp,fn,tp,threshold
fan,3675,400,1475,0.5220186440677965,0.24853333333333333,0.21513269339356295,0.9525,0.8173076923076923,0.0576271186440678,0.10766307789740343,381,19,1390,85,0.0023533574
pump,3349,400,456,0.5714967105263158,0.5233644859813084,0.49476439790575916,0.945,0.7608695652173914,0.15350877192982457,0.25547445255474455,378,22,386,70,0.0026048822
valve,3291,400,479,0.5482306889352818,0.45847554038680316,0.4542168674698795,0.9425,0.5306122448979592,0.054279749478079335,0.09848484848484848,377,23,453,26,0.0020700204
