machine,train_normal_files,test_normal_files,test_anomaly_files,roc_auc,accuracy,normal_precision,normal_recall,anomaly_precision,anomaly_recall,anomaly_f1,tn,fp,fn,tp,threshold
fan,3675,400,1475,0.5498457627118644,0.25493333333333335,0.21367030442274554,0.93,0.7910447761194029,0.07186440677966102,0.13175885643256682,372,28,1369,106,0.43548724
pump,3349,400,456,0.7019188596491229,0.5490654205607477,0.5094594594594595,0.9425,0.8017241379310345,0.20394736842105263,0.32517482517482516,377,23,363,93,0.4396516
valve,3291,400,479,0.6779592901878915,0.47440273037542663,0.46200980392156865,0.9425,0.6349206349206349,0.08350730688935282,0.14760147601476015,377,23,439,40,0.3718372
